ID:0;CPU:428;SZ:3034
ID:1;CPU:496;SZ:4428
ID:2;CPU:319;SZ:14161
ID:3;CPU:137;SZ:281
ID:4;CPU:150;SZ:7017
ID:5;CPU:111;SZ:12105
ID:6;CPU:336;SZ:3625
ID:7;CPU:495;SZ:8883
ID:8;CPU:116;SZ:9981
ID:9;CPU:109;SZ:1300
ID:10;CPU:93;SZ:1717
ID:11;CPU:471;SZ:9130
ID:12;CPU:422;SZ:389
ID:13;CPU:276;SZ:13950
ID:14;CPU:57;SZ:6924
ID:15;CPU:214;SZ:9676
ID:16;CPU:503;SZ:6177
ID:17;CPU:500;SZ:280
ID:18;CPU:378;SZ:15556
ID:19;CPU:43;SZ:2781
ID:20;CPU:502;SZ:2895
ID:21;CPU:425;SZ:1693
ID:22;CPU:62;SZ:2138
ID:23;CPU:243;SZ:9821
ID:24;CPU:436;SZ:9467
ID:25;CPU:294;SZ:12370
ID:26;CPU:46;SZ:12184
ID:27;CPU:370;SZ:7066
ID:28;CPU:355;SZ:11241
ID:29;CPU:246;SZ:9080
ID:30;CPU:174;SZ:5794
ID:31;CPU:154;SZ:13729
ID:32;CPU:34;SZ:3886
ID:33;CPU:33;SZ:5314
ID:34;CPU:238;SZ:5891
ID:35;CPU:36;SZ:15499
ID:36;CPU:127;SZ:13846
ID:37;CPU:403;SZ:6781
ID:38;CPU:265;SZ:7159
ID:39;CPU:469;SZ:594
ID:40;CPU:296;SZ:400
ID:41;CPU:17;SZ:15250
ID:42;CPU:366;SZ:15408
ID:43;CPU:352;SZ:13785
ID:44;CPU:288;SZ:7368
ID:45;CPU:194;SZ:906
ID:46;CPU:291;SZ:527
ID:47;CPU:452;SZ:10346
ID:48;CPU:489;SZ:6604
ID:49;CPU:343;SZ:49
ID:50;CPU:495;SZ:1989
ID:51;CPU:126;SZ:9674
ID:52;CPU:65;SZ:7836
ID:53;CPU:468;SZ:13221
ID:54;CPU:412;SZ:9166
ID:55;CPU:413;SZ:7018
ID:56;CPU:444;SZ:12084
ID:57;CPU:408;SZ:2355
ID:58;CPU:337;SZ:13482
ID:59;CPU:246;SZ:15749
ID:60;CPU:416;SZ:9723
ID:61;CPU:422;SZ:11749
ID:62;CPU:57;SZ:14201
ID:63;CPU:346;SZ:7814
ID:64;CPU:471;SZ:11778
